created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Tue Aug 10 13:01:28 +0000 2021,Kristiana 🔥⛪,she/her      i was busy thinking about chemtrails,"tw // transfobia
.
.
.
ricordando come una clown qualunque su Twitter aveva scritto come le donne trans siano le pi… https://t.co/xkFrRqdEOU","tw // transfobia
.
.
.
ricordando come una clown qualunque su Twitter aveva scritto come le donne trans siano le più privilegiate e considerate all'interno della comunità LGBTQ+.",[]
Tue Aug 10 14:00:14 +0000 2021,lia,happiness (n.) : nevculture ⠀⠀⠀⠀⠀⠀⠀⠀⠀ http://filtervmoon.carrd.co,"@cheoslove tw // transfobia

stessa logica di chi dice che si è attrattx dagli organi genitali quindi se ad esempio… https://t.co/vaf1mH9GEk","@cheoslove tw // transfobia

stessa logica di chi dice che si è attrattx dagli organi genitali quindi se ad esempio ad una persona non donna piace un uomo trans pre transizione quella persona è per forza bi e non può essere gay 😐 dite semplicemente di essere transfobicx e basta",[]
Tue Aug 10 15:16:28 +0000 2021,Gabriele 🇵🇸,"Mi piace ascoltare, aiutare, condividere e donare. Non accetto la violenza verbale. INFJ - pro diritti civili, laicità, rispetto. Orgogliosamente vaccinato.",@interpreterpaul Io sono completamente a favore dei diritti trans e del rispetto per chi non si riconosce nel gener… https://t.co/aIqE4ssIEq,"@interpreterpaul Io sono completamente a favore dei diritti trans e del rispetto per chi non si riconosce nel genere con cui è nato, però non condivido la presa di posizione contro il #greenpass perché allora si dovrebbe rinunciare a chiedere i documenti in qualsiasi contesto e ciò è impossibile.",[]
Tue Aug 10 16:13:19 +0000 2021,love u,"ren fears me, nana loves me",@ryoswagg a me stanno dando della misogina solo per aver spiegato che dire che un ragazzo trans è lesbica è transfobia,,[]
Tue Aug 10 17:07:00 +0000 2021,anto,"Orgogliosamente Italiano.
Finché, domestica o straniera, voi avete tirannide, come potete aver patria? La patria è la casa dell'uomo, non dello schiavo(Mazzini)",@durezzadelviver Solo per le trans è umiliante. Per chi è diversamente trans o lgbtqi non è un'umiliazione o un'inv… https://t.co/FJg6nQWU1m,@durezzadelviver Solo per le trans è umiliante. Per chi è diversamente trans o lgbtqi non è un'umiliazione o un'invasione della sfera privata.Chi non è conforme alla narrazione dei buoni™non gode degli stessi diritti garantiti peraltro a tutti dalla Costituzione.,[]
Tue Aug 10 18:59:55 +0000 2021,Gam62,,@EsercitoCrucian Ora non sono più orgogliosi di essere trans e di dimostrarlo?,,[]
Tue Aug 10 19:10:55 +0000 2021,Daniel Hopfen,Der Hexenmeister,@EsercitoCrucian Dov’é finito l’orgoglio Trans ? Perche tanta paura di confermare che hanno sotto la gonna un falco… https://t.co/gCIE3oAYre,"@EsercitoCrucian Dov’é finito l’orgoglio Trans ? Perche tanta paura di confermare che hanno sotto la gonna un falco ruspante ? 
Secondo me è leggermente spostata. Fa fatica a fare pace con i sensi.",[]
Tue Aug 10 19:54:59 +0000 2021,Emiliano Caruselli,,"@ve10ve @elio_vito Boh. La formula proposta dice ""omofobia e transfobia"". In che modo escluderebbe le persone trans… https://t.co/yKXwMsW2Dn","@ve10ve @elio_vito Boh. La formula proposta dice ""omofobia e transfobia"". In che modo escluderebbe le persone trans dalla tutela? Davvero non lo capisco.",[]
Tue Aug 10 20:21:41 +0000 2021,Emiliano Caruselli,,"@ve10ve @elio_vito No, davvero, se la legge parla di ""transfobia"" non è trans escludente. E l'autodeterminazione de… https://t.co/vQyr1vttEj","@ve10ve @elio_vito No, davvero, se la legge parla di ""transfobia"" non è trans escludente. E l'autodeterminazione del genere non è cosa da infilare surrettiziamente in una legge penale. Va fatta un'altra legge apposita e va discussa con chiarezza, senza nascondersi.",[]
Tue Aug 10 20:29:41 +0000 2021,shukaku,"#MADSEASON : I'm above, over you I'm standing above, claiming unconditional love //  bisexual // ❖⁴
•she/her•","Tw // transfobia

porcodio io cerco di non portare tweet transfobici in tl perché mi seguono anche persone trans pe… https://t.co/rpg7YDtG3n","Tw // transfobia

porcodio io cerco di non portare tweet transfobici in tl perché mi seguono anche persone trans però cazzo se la pensate così bloccatemi subito",[]
